datetime,nat_demand,temperature,humidity
2024-01-01 00:00:00,861.37,22.7,93
2024-01-01 01:00:00,831.6,22.7,63
2024-01-01 02:00:00,840.16,24.1,77
2024-01-01 03:00:00,850.53,24.3,91
2024-01-01 04:00:00,780.81,26.9,73
2024-01-01 05:00:00,797.19,23.9,91
2024-01-01 06:00:00,909.29,26.0,65
2024-01-01 07:00:00,961.67,25.7,76
2024-01-01 08:00:00,1022.6,27.4,67
2024-01-01 09:00:00,1169.8,31.1,94
2024-01-01 10:00:00,1234.33,28.6,83
2024-01-01 11:00:00,1303.15,31.5,62
2024-01-01 12:00:00,1352.52,31.9,76
2024-01-01 13:00:00,1252.5,31.8,76
2024-01-01 14:00:00,1190.2,32.6,89
2024-01-01 15:00:00,1131.17,30.5,84
2024-01-01 16:00:00,1003.63,33.5,81
2024-01-01 17:00:00,945.86,33.1,70
2024-01-01 18:00:00,822.31,30.1,71
2024-01-01 19:00:00,756.04,31.9,80
2024-01-01 20:00:00,840.4,27.5,74
2024-01-01 21:00:00,789.43,27.4,71
2024-01-01 22:00:00,819.97,27.7,81
2024-01-01 23:00:00,786.69,24.6,94
2024-01-02 00:00:00,825.75,22.9,75
2024-01-02 01:00:00,841.13,22.2,92
2024-01-02 02:00:00,778.02,26.5,73
2024-01-02 03:00:00,811.19,23.5,77
2024-01-02 04:00:00,768.8,24.3,75
2024-01-02 05:00:00,795.99,23.8,62
2024-01-02 06:00:00,833.77,27.1,85
2024-01-02 07:00:00,1000.45,26.0,74
2024-01-02 08:00:00,1039.37,27.4,86
2024-01-02 09:00:00,1114.61,29.4,76
2024-01-02 10:00:00,1280.15,28.7,73
2024-01-02 11:00:00,1277.54,30.6,61
2024-01-02 12:00:00,1352.18,33.1,86
2024-01-02 13:00:00,1251.69,32.4,83
2024-01-02 14:00:00,1204.9,32.2,94
2024-01-02 15:00:00,1158.55,32.1,63
2024-01-02 16:00:00,1065.74,31.0,85
2024-01-02 17:00:00,941.68,33.2,63
2024-01-02 18:00:00,850.85,29.0,93
2024-01-02 19:00:00,795.74,29.3,72
2024-01-02 20:00:00,738.16,28.1,60
2024-01-02 21:00:00,772.95,28.2,60
2024-01-02 22:00:00,802.3,27.3,68
2024-01-02 23:00:00,874.37,25.1,70
2024-01-03 00:00:00,857.69,24.9,75
2024-01-03 01:00:00,776.4,24.5,88
2024-01-03 02:00:00,830.51,21.3,74
2024-01-03 03:00:00,785.42,22.2,61
2024-01-03 04:00:00,766.99,23.8,69
2024-01-03 05:00:00,828.47,24.5,70
2024-01-03 06:00:00,891.78,24.6,89
2024-01-03 07:00:00,969.08,27.9,82
2024-01-03 08:00:00,1011.34,28.0,81
2024-01-03 09:00:00,1141.67,28.8,88
2024-01-03 10:00:00,1263.82,28.5,91
2024-01-03 11:00:00,1355.27,30.8,92
2024-01-03 12:00:00,1328.96,28.3,68
2024-01-03 13:00:00,1314.64,31.7,60
2024-01-03 14:00:00,1213.53,32.1,77
2024-01-03 15:00:00,1110.66,32.2,81
2024-01-03 16:00:00,1069.19,29.6,73
2024-01-03 17:00:00,984.01,31.1,81
2024-01-03 18:00:00,853.24,28.8,92
2024-01-03 19:00:00,842.27,28.1,65
2024-01-03 20:00:00,803.43,28.9,86
2024-01-03 21:00:00,776.43,29.4,65
2024-01-03 22:00:00,831.93,26.1,75
2024-01-03 23:00:00,892.07,24.2,61
2024-01-04 00:00:00,845.32,24.8,88
2024-01-04 01:00:00,893.79,25.3,82
2024-01-04 02:00:00,728.39,24.7,80
2024-01-04 03:00:00,828.58,27.4,72
2024-01-04 04:00:00,794.65,23.7,60
2024-01-04 05:00:00,797.51,25.5,88
2024-01-04 06:00:00,859.82,27.9,66
2024-01-04 07:00:00,867.83,28.7,90
2024-01-04 08:00:00,1033.93,25.7,81
2024-01-04 09:00:00,1165.9,29.0,75
2024-01-04 10:00:00,1304.87,31.8,87
2024-01-04 11:00:00,1303.9,34.3,84
2024-01-04 12:00:00,1318.35,32.3,73
2024-01-04 13:00:00,1304.49,31.4,80
2024-01-04 14:00:00,1285.2,30.8,78
2024-01-04 15:00:00,1164.95,34.5,72
2024-01-04 16:00:00,1023.13,32.3,61
2024-01-04 17:00:00,955.42,29.8,73
2024-01-04 18:00:00,860.08,29.8,93
2024-01-04 19:00:00,841.96,29.4,77
2024-01-04 20:00:00,767.12,28.7,83
2024-01-04 21:00:00,788.45,25.9,89
2024-01-04 22:00:00,806.47,25.3,78
2024-01-04 23:00:00,787.93,23.2,80
2024-01-05 00:00:00,857.91,25.8,78
2024-01-05 01:00:00,849.13,23.7,85
2024-01-05 02:00:00,821.23,24.6,94
2024-01-05 03:00:00,792.57,25.8,63
2024-01-05 04:00:00,743.03,24.8,80
2024-01-05 05:00:00,794.22,25.0,62
2024-01-05 06:00:00,845.58,26.2,64
2024-01-05 07:00:00,910.29,27.0,88
2024-01-05 08:00:00,1036.94,29.5,78
2024-01-05 09:00:00,1168.51,29.4,76
2024-01-05 10:00:00,1320.12,29.3,93
2024-01-05 11:00:00,1329.12,32.1,79
2024-01-05 12:00:00,1356.63,32.9,87
2024-01-05 13:00:00,1320.42,30.3,68
2024-01-05 14:00:00,1186.97,33.8,62
2024-01-05 15:00:00,1153.48,32.3,69
2024-01-05 16:00:00,1044.74,31.8,80
2024-01-05 17:00:00,1024.64,32.0,63
2024-01-05 18:00:00,850.91,29.3,81
2024-01-05 19:00:00,819.58,30.2,66
2024-01-05 20:00:00,791.44,27.5,71
2024-01-05 21:00:00,759.98,25.2,70
2024-01-05 22:00:00,861.16,24.8,81
2024-01-05 23:00:00,866.43,25.9,88
2024-01-06 00:00:00,676.25,23.4,86
2024-01-06 01:00:00,609.18,26.1,79
2024-01-06 02:00:00,671.16,25.4,73
2024-01-06 03:00:00,600.0,25.7,66
2024-01-06 04:00:00,614.12,24.7,74
2024-01-06 05:00:00,686.63,25.5,87
2024-01-06 06:00:00,623.93,24.6,69
2024-01-06 07:00:00,719.56,28.2,62
2024-01-06 08:00:00,847.1,28.5,71
2024-01-06 09:00:00,937.77,29.7,72
2024-01-06 10:00:00,1000.85,32.0,93
2024-01-06 11:00:00,1126.43,30.1,60
2024-01-06 12:00:00,1111.45,31.3,84
2024-01-06 13:00:00,1140.62,32.3,78
2024-01-06 14:00:00,1022.97,30.9,84
2024-01-06 15:00:00,1009.67,31.6,65
2024-01-06 16:00:00,816.24,32.1,63
2024-01-06 17:00:00,728.17,30.4,85
2024-01-06 18:00:00,687.14,31.6,85
2024-01-06 19:00:00,600.0,27.2,85
2024-01-06 20:00:00,601.64,29.3,73
2024-01-06 21:00:00,647.65,27.8,91
2024-01-06 22:00:00,600.0,25.3,87
2024-01-06 23:00:00,647.6,24.1,61
2024-01-07 00:00:00,658.73,22.0,80
2024-01-07 01:00:00,669.44,23.2,73
2024-01-07 02:00:00,600.0,25.3,61
2024-01-07 03:00:00,600.0,24.1,64
2024-01-07 04:00:00,612.92,25.9,61
2024-01-07 05:00:00,621.43,24.4,60
2024-01-07 06:00:00,668.43,26.8,81
2024-01-07 07:00:00,752.58,26.1,84
2024-01-07 08:00:00,820.88,26.8,89
2024-01-07 09:00:00,964.59,28.9,68
2024-01-07 10:00:00,1066.45,29.2,69
2024-01-07 11:00:00,1100.1,29.0,74
2024-01-07 12:00:00,1215.0,31.2,62
2024-01-07 13:00:00,1141.69,32.0,67
2024-01-07 14:00:00,1014.52,33.5,84
2024-01-07 15:00:00,979.47,33.0,80
2024-01-07 16:00:00,810.61,32.9,93
2024-01-07 17:00:00,768.06,31.7,86
2024-01-07 18:00:00,700.28,30.4,68
2024-01-07 19:00:00,600.0,27.6,69
2024-01-07 20:00:00,628.46,28.2,86
2024-01-07 21:00:00,617.42,27.7,84
2024-01-07 22:00:00,652.02,27.7,72
2024-01-07 23:00:00,708.59,26.0,63
2024-01-08 00:00:00,842.16,26.0,75
2024-01-08 01:00:00,816.82,22.9,71
2024-01-08 02:00:00,793.12,23.6,84
2024-01-08 03:00:00,775.44,24.7,75
2024-01-08 04:00:00,793.07,25.9,61
2024-01-08 05:00:00,824.09,25.0,68
2024-01-08 06:00:00,870.47,25.9,72
2024-01-08 07:00:00,970.52,27.8,73
2024-01-08 08:00:00,1046.25,26.6,71
2024-01-08 09:00:00,1208.45,31.0,94
2024-01-08 10:00:00,1248.05,28.9,81
2024-01-08 11:00:00,1421.42,28.5,80
2024-01-08 12:00:00,1372.72,31.5,62
2024-01-08 13:00:00,1296.23,33.9,81
2024-01-08 14:00:00,1219.86,32.7,68
2024-01-08 15:00:00,1174.5,32.8,62
2024-01-08 16:00:00,1038.02,31.5,90
2024-01-08 17:00:00,966.62,30.6,65
2024-01-08 18:00:00,877.42,28.1,73
