timestamp;client_1;client_2;client_3;client_4;client_5;client_6;client_7;client_8;client_9;client_10
2024-01-01 00:00:00;4.494;4.285;5.208;6.101;17.843;17.118;18.803;70.696;70.463;76.768
2024-01-01 00:15:00;4.374;4.312;5.339;5.361;11.928;15.229;19.316;65.195;73.995;82.335
2024-01-01 00:30:00;4.523;4.66;4.935;5.954;14.288;18.524;19.369;72.657;77.406;70.865
2024-01-01 00:45:00;4.689;4.905;4.821;5.657;14.718;18.33;16.089;70.3;66.61;87.53
2024-01-01 01:00:00;4.188;4.001;5.061;5.511;14.852;16.173;19.752;67.332;77.257;78.063
2024-01-01 01:15:00;4.188;4.518;4.946;4.822;16.471;18.275;18.897;65.511;75.212;66.643
2024-01-01 01:30:00;4.533;4.511;5.202;4.75;16.406;17.77;17.358;68.094;69.359;70.351
2024-01-01 01:45:00;4.378;4.952;5.011;5.364;16.552;15.253;17.171;64.997;66.349;82.815
2024-01-01 02:00:00;3.686;4.086;4.63;5.052;16.835;15.902;17.852;69.286;72.604;81.838
2024-01-01 02:15:00;3.878;4.263;4.137;4.626;14.67;18.93;16.27;69.419;66.49;75.1
2024-01-01 02:30:00;3.687;4.207;5.085;4.638;14.295;17.67;21.225;70.282;77.323;75.825
2024-01-01 02:45:00;3.687;3.685;4.531;5.149;16.555;16.342;20.837;77.655;66.156;68.595
2024-01-01 03:00:00;3.196;3.727;4.138;4.524;15.118;15.895;19.141;68.351;74.848;82.268
2024-01-01 03:15:00;2.786;3.6;3.724;4.307;13.801;16.417;18.034;73.923;71.581;69.567
2024-01-01 03:30:00;2.822;3.667;4.033;4.592;17.36;16.524;18.077;70.125;69.085;79.646
2024-01-01 03:45:00;3.043;4.453;3.598;3.986;17.953;15.914;19.643;67.833;71.465;82.436
2024-01-01 04:00:00;2.333;2.446;3.447;3.615;18.18;14.553;21.283;68.416;77.616;75.265
2024-01-01 04:15:00;2.585;3.322;3.229;4.236;16.262;18.933;17.465;68.712;65.8;80.322
2024-01-01 04:30:00;2.352;2.859;3.333;3.746;16.876;18.675;16.567;70.371;69.857;85.162
2024-01-01 04:45:00;2.257;2.991;3.513;3.764;17.918;15.265;20.938;64.299;68.091;76.474
2024-01-01 05:00:00;2.346;2.457;2.535;3.982;15.102;17.407;15.469;61.82;71.799;74.036
2024-01-01 05:15:00;2.025;2.37;2.683;2.834;17.555;15.829;16.746;72.206;68.44;74.632
2024-01-01 05:30:00;2.08;2.336;2.991;3.514;16.386;16.802;17.995;73.401;62.806;70.914
2024-01-01 05:45:00;1.797;2.543;3.434;3.783;17.279;16.676;15.841;72.654;66.513;70.789
2024-01-01 06:00:00;1.797;1.951;2.663;2.999;16.261;16.55;20.224;69.759;80.516;77.433
2024-01-01 06:15:00;1.921;2.473;2.86;3.366;17.815;20.244;19.805;72.759;73.283;74.098
2024-01-01 06:30:00;1.681;2.204;2.671;2.796;16.313;16.531;17.457;72.496;73.104;76.802
2024-01-01 06:45:00;1.971;2.04;3.224;2.887;13.922;15.971;20.499;72.859;70.53;66.805
