statut_compte,duree_credit_mois,historique_credit,motif_pret,montant_credit_eur,epargne,anciennete_emploi,taux_effort_pct,statut_personnel,autres_debiteurs,duree_residence_ans,patrimoine,age_annees,autres_plans_paiement,logement,nombre_credits_existants,profession,personnes_a_charge,telephone,travailleur_etranger,statut_defaut_brut,statut_defaut,probabilite_defaut_pct,decision_credit,client_id
A11,6,A34,A43,1169,A65,A75,4,A93,A101,4,A121,67,A143,A152,2,A173,1,A192,A201,1,0,15.6,✅ ACCORDÉ,GER-CLI-1000
A12,48,A32,A43,5951,A61,A73,2,A92,A101,2,A121,22,A143,A152,1,A173,1,A191,A201,2,1,68.8,❌ REFUSÉ,GER-CLI-1001
A14,12,A34,A46,2096,A61,A74,2,A93,A101,3,A121,49,A143,A152,1,A172,2,A191,A201,1,0,19.7,✅ ACCORDÉ,GER-CLI-1002
A11,42,A32,A42,7882,A61,A74,2,A93,A103,4,A122,45,A143,A153,1,A173,2,A191,A201,1,0,60.9,❌ REFUSÉ,GER-CLI-1003
A11,24,A33,A40,4870,A61,A73,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,2,1,37.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1004
A14,36,A32,A46,9055,A65,A73,2,A93,A101,4,A124,35,A143,A153,1,A172,2,A192,A201,1,0,65.4,❌ REFUSÉ,GER-CLI-1005
A14,24,A32,A42,2835,A63,A75,3,A93,A101,4,A122,53,A143,A152,1,A173,1,A191,A201,1,0,30.7,⚠️ ÉTUDE MANUELLE,GER-CLI-1006
A12,36,A32,A41,6948,A61,A73,2,A93,A101,2,A123,35,A143,A151,1,A174,1,A192,A201,1,0,58.0,❌ REFUSÉ,GER-CLI-1007
A14,12,A32,A43,3059,A64,A74,2,A91,A101,4,A121,61,A143,A152,1,A172,1,A191,A201,1,0,18.2,✅ ACCORDÉ,GER-CLI-1008
A12,30,A34,A40,5234,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,2,1,60.5,❌ REFUSÉ,GER-CLI-1009
A12,12,A32,A40,1295,A61,A72,3,A92,A101,1,A123,25,A143,A151,1,A173,1,A191,A201,2,1,30.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1010
A11,48,A32,A49,4308,A61,A72,3,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,2,1,67.0,❌ REFUSÉ,GER-CLI-1011
A12,12,A32,A43,1567,A61,A73,1,A92,A101,1,A123,22,A143,A152,1,A173,1,A192,A201,1,0,24.1,✅ ACCORDÉ,GER-CLI-1012
A11,24,A34,A40,1199,A61,A75,4,A93,A101,4,A123,60,A143,A152,2,A172,1,A191,A201,2,1,26.9,✅ ACCORDÉ,GER-CLI-1013
A11,15,A32,A40,1403,A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,1,A191,A201,1,0,26.9,✅ ACCORDÉ,GER-CLI-1014
A11,24,A32,A43,1282,A62,A73,4,A92,A101,2,A123,32,A143,A152,1,A172,1,A191,A201,2,1,39.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1015
A14,24,A34,A43,2424,A65,A75,4,A93,A101,4,A122,53,A143,A152,2,A173,1,A191,A201,1,0,33.7,⚠️ ÉTUDE MANUELLE,GER-CLI-1016
A11,30,A30,A49,8072,A65,A72,2,A93,A101,3,A123,25,A141,A152,3,A173,1,A191,A201,1,0,62.5,❌ REFUSÉ,GER-CLI-1017
A12,24,A32,A41,12579,A61,A75,4,A92,A101,2,A124,44,A143,A153,1,A174,1,A192,A201,2,1,73.6,❌ REFUSÉ,GER-CLI-1018
A14,24,A32,A43,3430,A63,A75,3,A93,A101,2,A123,31,A143,A152,1,A173,2,A192,A201,1,0,42.9,⚠️ ÉTUDE MANUELLE,GER-CLI-1019
A14,9,A34,A40,2134,A61,A73,4,A93,A101,4,A123,48,A143,A152,3,A173,1,A192,A201,1,0,25.5,✅ ACCORDÉ,GER-CLI-1020
A11,6,A32,A43,2647,A63,A73,2,A93,A101,3,A121,44,A143,A151,1,A173,2,A191,A201,1,0,19.7,✅ ACCORDÉ,GER-CLI-1021
A11,10,A34,A40,2241,A61,A72,1,A93,A101,3,A121,48,A143,A151,2,A172,2,A191,A202,1,0,16.5,✅ ACCORDÉ,GER-CLI-1022
A12,12,A34,A41,1804,A62,A72,3,A93,A101,4,A122,44,A143,A152,1,A173,1,A191,A201,1,0,24.1,✅ ACCORDÉ,GER-CLI-1023
A14,10,A34,A42,2069,A65,A73,2,A94,A101,1,A123,26,A143,A152,2,A173,1,A191,A202,1,0,26.7,✅ ACCORDÉ,GER-CLI-1024
A11,6,A32,A42,1374,A61,A73,1,A93,A101,2,A121,36,A141,A152,1,A172,1,A192,A201,1,0,16.3,✅ ACCORDÉ,GER-CLI-1025
A14,6,A30,A43,426,A61,A75,4,A94,A101,4,A123,39,A143,A152,1,A172,1,A191,A201,1,0,22.5,✅ ACCORDÉ,GER-CLI-1026
A13,12,A31,A43,409,A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,1,A191,A201,1,0,21.1,✅ ACCORDÉ,GER-CLI-1027
A12,7,A32,A43,2415,A61,A73,3,A93,A103,2,A121,34,A143,A152,1,A173,1,A191,A201,1,0,26.7,✅ ACCORDÉ,GER-CLI-1028
A11,60,A33,A49,6836,A61,A75,3,A93,A101,4,A124,63,A143,A152,2,A173,1,A192,A201,2,1,66.0,❌ REFUSÉ,GER-CLI-1029
A12,18,A32,A49,1913,A64,A72,3,A94,A101,3,A121,36,A141,A152,1,A173,1,A192,A201,1,0,31.2,⚠️ ÉTUDE MANUELLE,GER-CLI-1030
A11,24,A32,A42,4020,A61,A73,2,A93,A101,2,A123,27,A142,A152,1,A173,1,A191,A201,1,0,42.1,⚠️ ÉTUDE MANUELLE,GER-CLI-1031
A12,18,A32,A40,5866,A62,A73,2,A93,A101,2,A123,30,A143,A152,2,A173,1,A192,A201,1,0,43.0,⚠️ ÉTUDE MANUELLE,GER-CLI-1032
A14,12,A34,A49,1264,A65,A75,4,A93,A101,4,A124,57,A143,A151,1,A172,1,A191,A201,1,0,21.6,✅ ACCORDÉ,GER-CLI-1033
A13,12,A32,A42,1474,A61,A72,4,A92,A101,1,A122,33,A141,A152,1,A174,1,A192,A201,1,0,31.5,⚠️ ÉTUDE MANUELLE,GER-CLI-1034
A12,45,A34,A43,4746,A61,A72,4,A93,A101,2,A122,25,A143,A152,2,A172,1,A191,A201,2,1,70.3,❌ REFUSÉ,GER-CLI-1035
